"h3_id","count_traffic","mean_speed","scale"
"8a6ad8c341a7fff","9.9048","53.3055","5"
"8a6ad8c3635ffff","9.8095","50.3805","5"
"8a6ad8da9a57fff","5.8571","59.4818","5"
"8a6ad8c344e7fff","2.0","53.3999","5"
"8a6ad8c32a0ffff","1.0","50.7507","5"
"8a6ad8d122effff","6.05","52.556","5"
"8a6ad8c3419ffff","9.8571","55.1673","5"
"8a6ad8c3451ffff","9.9048","50.9013","5"
"8a6ad8d12767fff","7.3333","56.9218","5"
"8a6ad8d13647fff","1.3077","56.3678","5"
"8a6ad8c34c47fff","1.421","59.5852","5"
"8a6ad8da9a47fff","10.3333","53.6291","5"
"8a6ad8c33297fff","17.0476","51.64","5"
"8a6ad8c34437fff","1.0","58.652","5"
"8a6ad8da075ffff","1.0","50.6038","5"
"8a6ad8d09ca7fff","1.8","52.8038","5"
"8a6ad8da9acffff","6.4762","55.7038","5"
"8a6ad8d122cffff","5.2857","52.0712","5"
"8a6ad8d1365ffff","2.3684","54.642","5"
"8a6ad8da9a77fff","10.4762","54.3494","5"
"8a6ad8d122b7fff","7.2381","53.2284","5"
"8a6ad8c304cffff","11.3333","54.3579","5"
"8a6ad8d122f7fff","7.8095","59.0855","5"
"8a6ad8da98effff","10.0","50.4004","5"
"8a6ad8dad8e7fff","9.0","59.7826","5"
"8a6ad8d12287fff","7.5714","59.1729","5"
"8a6ad8d1228ffff","7.1905","55.309","5"
"8a6ad8d122c7fff","6.5238","58.479","5"
"8a6ad8d16b4ffff","7.4286","56.6998","5"
"8a6ad8c33667fff","9.5238","54.391","5"
"8a6ad8d162a7fff","7.2857","54.2963","5"
"8a6ad8c26897fff","1.0909","54.7474","5"
"8a6ad8d1274ffff","7.2857","58.7392","5"
"8a6ad8d1d0cffff","1.1429","56.0705","5"
"8a6ad8dad2c7fff","1.0","53.1852","5"
"8a6ad8da066ffff","1.0","57.1874","5"
"8a6ad8d16317fff","3.4737","59.7638","5"
"8a6ad8dad9a7fff","8.9048","57.8196","5"
"8a6ad8da101ffff","1.0","52.8804","5"
"8a6ad8d1d0effff","1.1429","50.5247","5"
"8a6ad8da02f7fff","1.0","59.668","5"
"8a6ad8da9ba7fff","10.1905","52.5956","5"
"8a6ad8c340b7fff","1.2","50.4927","5"
"8a6ad8d1638ffff","7.1429","54.547","5"
"8a6ad8dad80ffff","1.0","58.8347","5"
"8a6ad8d1d15ffff","1.0","54.5112","5"
"8a6ad8d1d75ffff","1.1429","54.9181","5"
"8a6ad8da021ffff","1.0","51.0443","5"
"8a6ad8d16387fff","5.1429","51.2393","5"
"8a6ad8c36b4ffff","1.0","57.9789","5"
"8a6ad8da154ffff","1.0","54.3192","5"
"8a6ad8da99a7fff","1.0","53.9532","5"
"8a6ad8c3268ffff","1.4","56.5084","5"
"8a6ad8c05a1ffff","1.0","55.1926","5"
"8a6ad8d1d0c7fff","1.0","53.0966","5"
"8a6ad8dad937fff","9.1429","50.2354","5"
"8a6ad8d0919ffff","1.8333","59.8833","5"
"8a6ad8da1517fff","1.0","54.9448","5"
"8a6ad8d83ac7fff","1.5714","56.6934","5"
"8a6ad8da029ffff","1.0","56.9059","5"
"8a6ad8c34527fff","1.0","58.1069","5"
"8a6ad8da10affff","1.0","52.3955","5"
"8a6ad8d02327fff","2.3333","50.9214","5"
"8a6ad8d163affff","7.4286","54.2211","5"
"8a6ad8d02677fff","2.25","56.734","5"
"8a6ad8c24ce7fff","1.375","55.3409","5"
"8a6ad8d1d667fff","1.1429","58.5378","5"
"8a6ad8c33677fff","13.0476","53.2506","5"
"8a6ad8d09c87fff","1.3333","59.9291","5"
"8a6ad8d88357fff","1.0","52.8791","5"
"8a6ad8c36b47fff","1.0","59.4702","5"
"8a6ad8c36277fff","1.3333","54.8891","5"
"8a6ad8c354dffff","1.0","58.962","5"
"8a6ad8d09cc7fff","2.0","57.2052","5"
